model,setting,evidence,checkpoint,color,shape,texture,spatial,non_spatial,complex,average
Janus-Pro-1B,Baseline,local evaluation,base,0.3514,0.2028,0.2740,0.0738,0.2633,0.2314,0.2328
Janus-Pro-1B,T2I-RIA Full,local evaluation,600,0.7985,0.4772,0.6831,0.2971,0.3046,0.3716,0.4887
Janus-Pro-7B,T2I-RIA Full,local evaluation,500,0.8267,0.5805,0.7317,0.3435,0.3094,0.4040,0.5326
Janus-Pro-7B,Baseline,external reported,n/a,0.6359,0.3528,0.4936,0.2061,0.3085,0.3559,0.3921
Janus-Pro-7B,T2I-R1,external reported,n/a,0.8130,0.5852,0.7243,0.3378,0.3090,0.3993,0.5281
Janus-Pro-1B,T2I-RIA w/o Attr,local evaluation,400,0.7848,0.4652,0.6640,0.2844,0.3025,0.3657,0.4777
Janus-Pro-1B,T2I-RIA w/o Attr,local evaluation,600,0.7433,0.4444,0.6396,0.2866,0.3017,0.3605,0.4627
Janus-Pro-1B,T2I-RIA w/o Attr,local evaluation,800,0.6788,0.4084,0.6088,0.2441,0.2998,0.3482,0.4314
Janus-Pro-1B,T2I-RIA w/o GDino,local evaluation,400,0.7953,0.5218,0.6941,0.2803,0.3047,0.3835,0.4966
Janus-Pro-1B,T2I-RIA w/o GDino,local evaluation,600,0.7989,0.5115,0.6844,0.2827,0.3038,0.3805,0.4936
Janus-Pro-1B,T2I-RIA w/o GDino,local evaluation,800,0.7849,0.4781,0.6550,0.2544,0.3027,0.3693,0.4741
Janus-Pro-1B,T2I-RIA w/o ORM,local evaluation,200,0.7588,0.4280,0.6405,0.2526,0.2988,0.3514,0.4550
Janus-Pro-1B,T2I-RIA w/o ORM,local evaluation,400,0.7743,0.4598,0.6643,0.2795,0.3016,0.3630,0.4737
Janus-Pro-1B,T2I-RIA w/o ORM,local evaluation,600,0.7726,0.4585,0.6640,0.2898,0.3023,0.3674,0.4758
